Province,CPI_1398,CPI_1399,CPI_1400,CPI_1401,CPI_1402
کل کشور,50.86,70.03,100,150.55,211.73
مرکزی,51.73,67.89,100.01,152.35,214.78
گیلان,52.75,68.92,100.02,146.28,204.49
مازندران,51.46,68.34,100,150.51,206.65
آذربایجان شرقی,51.09,69,100,150.94,216.08
آذربایجان غربی,50.69,68.45,100.01,152.82,217.17
کرمانشاه,48.53,68.5,100.01,154.24,222
خوزستان,52.88,68.98,100,148.13,202.54
فارس,48.29,68.38,99.99,148.93,207.93
کرمان,52.3,71,100,151.58,210.43
خراسان رضوی,49.61,70.41,100.01,149.13,211.65
اصفهان,50.73,68.76,99.99,151.08,222.56
سیستان وبلوچستان,54.86,73.08,99.99,155.44,207.53
کردستان,50.38,70.21,100,153.53,224.33
همدان,51.43,73.94,100.01,151.23,215.48
چهارمحال وبختیاری,50.93,70.18,100,156.02,224.04
لرستان,49.42,69.32,99.99,156.77,225.46
ایلام,49.05,67.45,100.03,152.75,222.98
کهگیلویه وبویراحمد,49.08,65.99,99.99,150.67,211.22
بوشهر,49.23,70,100,151.73,209.02
زنجان,50.98,69.78,99.99,150.33,208.56
سمنان,53.36,71.83,100,150.58,206.88
یزد,48.38,69.32,100,150.51,227.63
هرمزگان,49.63,69.4,99.99,154.77,217.48
تهران,52.81,71.71,100.01,144.98,198.16
اردبیل,50.73,70.08,99.99,152.03,215.87
قم,52.63,71.62,100.01,153.58,216.4
قزوین,51.27,69.12,100.01,150.78,212.23
گلستان,50.91,69.47,100.01,150.03,205.3
خراسان شمالی,50.45,71.27,99.99,155.18,217.9
خراسان جنوبی,51.72,70.38,99.99,150.74,214.12
البرز,51.48,69.45,100,150.24,213.24
