Province,Inflation_rate_1398,Inflation_rate_1399,Inflation_rate_1400,Inflation_rate_1401,Inflation_rate_1402
کل کشور,41.99,30.11,46.33,44.13,48.36
مرکزی,45.11,29.05,45.04,45.78,49.53
گیلان,39.13,27.81,42.54,42.92,44.61
مازندران,39.99,29.88,44.08,46.01,45.37
آذربایجان شرقی,45.83,29,47.1,44.69,50.18
آذربایجان غربی,40.18,26.37,47.94,46.08,49.64
کرمانشاه,40.96,32.23,50.47,46.53,51.9
خوزستان,44.08,25.84,44.75,41.55,45.33
فارس,41.06,31.92,51.56,43.91,46.85
کرمان,36.89,29.24,43.1,44.58,46.3
خراسان رضوی,43.4,32.15,49.03,41.91,49.08
اصفهان,41.03,33.23,46.94,44.8,52.68
سیستان وبلوچستان,43.07,27.19,40.96,40.63,51.43
کردستان,48.53,28.53,48.72,44.48,53.6
همدان,41.36,31.32,46.34,39.33,52.12
چهارمحال وبختیاری,45.76,28.65,46.61,46.64,53.81
لرستان,48.78,33,48.64,48.21,53.09
ایلام,48.57,32.06,51.15,46.65,52.58
کهگیلویه وبویراحمد,44.64,26.78,49.79,49.2,47.15
بوشهر,45.42,34.78,48.59,44.49,47.33
زنجان,37.27,27.95,46.67,44.28,47.99
سمنان,39.32,29.22,41.81,42.99,46.43
یزد,44.53,34.65,49.85,44.14,55.46
هرمزگان,37.47,35.04,46.73,47.64,50.23
تهران,40.13,31.72,41.3,40.79,42.59
اردبیل,41.43,29.61,48.79,44.64,49.88
قم,37.81,30.17,41.8,45.4,49.71
قزوین,41.45,29.01,45.58,45.65,48.4
گلستان,40.39,29.27,46.47,44.49,47.24
خراسان شمالی,46.78,31.12,47.62,44.44,51.23
خراسان جنوبی,44.68,29.67,44.58,43.59,49.59
البرز,36.72,30.08,43.98,45.41,48.22
