Province,CPI_1398,CPI_1399,CPI_1400,CPI_1401,CPI_1402
کل کشور,52.54,71.56,99.92,144.96,203.97
مرکزی,53.18,70.74,99.99,148.73,212.15
گیلان,52.54,71.19,100.02,142.46,203.95
مازندران,52.38,69.5,100.01,144.8,202.62
آذربایجان شرقی,50.17,69.88,99.99,150.36,217.44
آذربایجان غربی,52.52,69.6,99.99,148.13,214.33
کرمانشاه,51.75,72.16,100,149.48,217.1
خوزستان,52.48,71.86,99.99,143.83,198.45
فارس,52.28,71.53,99.98,141.77,197.88
کرمان,51.38,70.51,99.99,146.33,206.99
خراسان رضوی,53.48,71.89,100,142.98,204.67
اصفهان,52.95,71.12,99.99,147.53,215.75
سیستان وبلوچستان,53.35,73.23,99.98,143.38,196.04
کردستان,51.06,71.05,99.99,149.26,218.88
همدان,53.1,73.18,99.99,144.08,207.2
چهارمحال وبختیاری,50.18,69.88,100.01,152.04,222.58
لرستان,51.22,70.03,100,153.68,222.63
ایلام,49.35,68.53,100.01,150.38,213.99
کهگیلویه وبویراحمد,50.05,68.23,100,148.53,212.89
بوشهر,52.78,70.74,100.01,141.04,193.98
زنجان,50.26,68.65,100.01,142.96,199.92
سمنان,54.12,72.33,100.01,145,199.88
یزد,52.73,70.61,100,154.12,231.55
هرمزگان,51.18,71.08,99.98,144.94,206.24
تهران,53.18,72.71,99.99,142.45,194.39
اردبیل,52.68,70.88,99.99,146.72,206.41
قم,54.53,72.99,100,146.19,206.88
قزوین,51.93,70.77,99.98,146.28,207.99
گلستان,50.65,70.07,100,146.68,206.97
خراسان شمالی,50.66,70.31,100.01,152.29,215.51
خراسان جنوبی,51.88,70.19,100.01,147.34,212.48
البرز,52.09,70.27,100.01,149.77,215.58
