Province,Inflation_rate_1398,Inflation_rate_1399,Inflation_rate_1400,Inflation_rate_1401,Inflation_rate_1402
کل کشور,37.8,29.75,42.64,40.1,45.11
مرکزی,40.11,27.64,42.22,42.93,48.78
گیلان,35.8,28.67,42.3,39.99,44.78
مازندران,36.68,27.41,43.19,43.03,43.93
آذربایجان شرقی,39.69,29.88,47.18,43.89,51.02
آذربایجان غربی,35.99,26.32,44.32,43.28,48.48
کرمانشاه,36.38,29.53,44.56,41.54,50.28
خوزستان,39.96,28.91,44.38,38.18,43.02
فارس,32.69,27.58,44.63,36.69,43.13
کرمان,33.98,30.82,44.65,42.03,45.16
خراسان رضوی,35.93,26.71,42.87,37.35,46.31
اصفهان,34.33,28.1,41.96,41.58,50.19
سیستان وبلوچستان,42.62,30.58,43.59,35.01,44.88
کردستان,43.21,28.46,47.08,41.41,51.45
همدان,36.52,29.08,42.97,36.86,48.14
چهارمحال وبختیاری,43.98,30.78,47.45,44.53,52.98
لرستان,43.28,31.52,44.89,47.13,52.08
ایلام,45.6,32.78,48.69,45.54,47.83
کهگیلویه وبویراحمد,42.08,29.73,46.91,45.64,47.74
بوشهر,42.28,27.71,43.33,38.79,41.24
زنجان,37.83,28.2,48.1,40.81,43.61
سمنان,35.88,27.36,40.63,39.44,43.25
یزد,37.86,28.09,42.36,46.08,56.14
هرمزگان,33.72,33.68,43.28,41.17,45.43
تهران,39.07,31.69,40.36,38.68,40.86
اردبیل,36.28,27.94,43.63,41.98,44.69
قم,33.11,28.4,39.09,39.9,46.77
قزوین,38.43,29.18,44.28,41.36,46.44
گلستان,38.99,30.94,45.59,42.83,45.75
خراسان شمالی,42.68,31.08,46.6,44.1,50.16
خراسان جنوبی,44.22,29.8,44.3,42.51,48.28
البرز,36.19,30.4,42.77,43.94,50.39
